"ID","MCC","Precision","Recall","Accuracy"
1,0.886082251506627,0.995260663507109,0.789473684210526,0.999257677180736
2,0.896718654120226,0.986363636363636,0.815789473684211,0.999322793217514
3,0.894537667907901,1,0.800751879699248,0.999309770010158
4,0.875465722102761,0.985714285714286,0.778195488721805,0.999192582174298
5,0.881820978131885,0.995215311004785,0.781954887218045,0.999231650778768
6,0.909166267128018,0.995495495495496,0.830827067669173,0.999400948064802
7,0.87538358511588,1,0.766917293233083,0.999192582174298
8,0.901610595772929,1,0.813432835820896,0.999348856592176
9,0.876375729833647,1,0.76865671641791,0.999192582174298
10,0.909875161207875,0.995535714285714,0.832089552238806,0.999400948064802
,0.891,0.995,0.798,0.999
