"ID","MCC","Precision","Recall","Accuracy"
1,0,0,0,0.996535826843435
2,0.0262132540166415,0.0161579892280072,0.0676691729323308,0.982496809314198
3,0.0199377490335993,0.0134615384615385,0.0526315789473684,0.983356340999661
4,0.0279738812151562,0.0138445154419595,0.0977443609022556,0.972756159816638
5,0.0553114663315558,0.0228353948620362,0.180451127819549,0.970412043548471
6,0.0518318553716563,0.019534184823441,0.195488721804511,0.963223420326093
7,0.0605362285918229,0.0209287115761936,0.240601503759398,0.958378913371881
8,0.0630098769929853,0.0208830548926014,0.261194029850746,0.95468041881544
9,0.0705969154156664,0.0248051027639972,0.261194029850746,0.961582538938376
10,0.069281775792967,0.022108843537415,0.291044776119403,0.952596759910403
,0.044,0.017,0.165,0.97
