"ID","MCC","Precision","Recall","Accuracy"
1,0.0208119691088544,0.0130718954248366,0.0601503759398496,0.98101216367567
2,0.0198145400915624,0.0106275303643725,0.0789473684210526,0.971348943817884
3,0.0178473489201275,0.00791100123609394,0.120300751879699,0.94469043836116
4,0.0233338862207127,0.00868686868686869,0.161654135338346,0.933192686357243
5,0.0249258953320446,0.00857191839533688,0.18796992481203,0.92187581392926
6,0.0276618554269694,0.00867902324213004,0.221804511278195,0.909543157785071
7,0.0327872024979539,0.00953329538986909,0.25187969924812,0.906756263999583
8,0.0346321426791957,0.0101499772761703,0.25,0.912290982966089
9,0.0324765144601285,0.00944444444444445,0.253731343283582,0.904516330676668
10,0.0355250908730849,0.0102480320807961,0.257462686567164,0.910624055842059
,0.027,0.01,0.184,0.93
