"ID","MCC","Precision","Recall","Accuracy"
1,0.776760097040657,0.611627906976744,0.988721804511278,0.997786054749564
2,0.830014196643363,0.700534759358289,0.984962406015038,0.998489307946761
3,0.789371601176666,0.624413145539906,1,0.997916286823119
4,0.797766166022252,0.640096618357488,0.996240601503759,0.998046569776528
5,0.816893773417155,0.676092544987147,0.988721804511278,0.998320050007814
6,0.843883615657414,0.71313672922252,1,0.998606553107256
7,0.766954943996901,0.596371882086168,0.988721804511278,0.997642860863677
8,0.795164367963666,0.633569739952719,1,0.997981455435745
9,0.78416324314011,0.625592417061611,0.985074626865672,0.99789029535865
10,0.847874881068981,0.728021978021978,0.988805970149254,0.998671667448039
,0.805,0.655,0.992,0.998
