"ID","MCC","Precision","Recall","Accuracy"
1,0.0773638179473725,0.0219679633867277,0.360902255639098,0.942124866512125
2,0.0817842727001548,0.0247844827586207,0.345864661654135,0.950589951293204
3,0.0777123724975172,0.022498803255146,0.353383458646617,0.94457322949496
4,0.0742766486689132,0.0203235172127748,0.368421052631579,0.936292128978486
5,0.0768718014256901,0.0221280602636535,0.353383458646617,0.943663072355056
6,0.081145934874276,0.0232447817836812,0.368421052631579,0.944183987081315
7,0.0836721601629756,0.0235892691951896,0.383458646616541,0.942881700265667
8,0.0873455526472006,0.023881893182805,0.41044776119403,0.939391571599729
9,0.0724517977079187,0.0223048327137546,0.313432835820896,0.949653591707038
10,0.0824622902587553,0.0240196078431373,0.365671641791045,0.945929051414284
,0.08,0.023,0.362,0.944
