"ID","MCC","Precision","Recall","Accuracy"
1,0,0,0,0.996535826843435
2,0.0577155348285293,0.0190751445086705,0.24812030075188,0.953194592764306
3,0.0513006210197462,0.0182291666666667,0.210526315789474,0.957987133071133
4,0.0479791766482514,0.0162192393736018,0.218045112781955,0.951476793248945
5,0.0278517685755675,0.0234375,0.0451127819548872,0.990180757410012
6,0.0639644410424852,0.0198848770277342,0.285714285714286,0.948741990936084
7,0.0754352818711433,0.0192513368983957,0.406015037593985,0.926290566234307
8,0.0759754004955279,0.0193253689388616,0.41044776119403,0.925248736781789
9,0.0769408946212098,0.0215954164830322,0.365671641791045,0.939964577798614
10,0.0745645359054862,0.0209424083769634,0.358208955223881,0.93931343439079
,0.055,0.018,0.255,0.953
